OBJECTID,GEOID,NAME,STATE,COUNTY,DC_HPN_NAME,CODE,HPN_LABEL
125,11001009504,Census Tract 95.04,District of Columbia,District of Columbia,MICHIGAN PARK,N33,N33 MICHIGAN PARK
126,11001009508,Census Tract 95.08,District of Columbia,District of Columbia,LAMOND RIGGS,N29,N29 LAMOND RIGGS
127,11001009509,Census Tract 95.09,District of Columbia,District of Columbia,MICHIGAN PARK,N33,N33 MICHIGAN PARK
128,11001009601,Census Tract 96.01,District of Columbia,District of Columbia,EASTLAND GARDENS,N17,N17 EASTLAND GARDENS
129,11001009602,Census Tract 96.02,District of Columbia,District of Columbia,EASTLAND GARDENS,N17,N17 EASTLAND GARDENS
130,11001009603,Census Tract 96.03,District of Columbia,District of Columbia,FORT DUPONT,N20,N20 FORT DUPONT
131,11001009604,Census Tract 96.04,District of Columbia,District of Columbia,FORT DUPONT,N20,N20 FORT DUPONT
132,11001009901,Census Tract 99.01,District of Columbia,District of Columbia,TWINING,N46,N46 TWINING
133,11001009902,Census Tract 99.02,District of Columbia,District of Columbia,TWINING,N46,N46 TWINING
134,11001009903,Census Tract 99.03,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
135,11001009904,Census Tract 99.04,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
136,11001009905,Census Tract 99.05,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
137,11001009906,Census Tract 99.06,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
138,11001009907,Census Tract 99.07,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
139,11001010100,Census Tract 101,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
140,11001010200,Census Tract 102,District of Columbia,District of Columbia,SW/WATERFRONT,N43,N43 SW/WATERFRONT
141,11001010500,Census Tract 105,District of Columbia,District of Columbia,SW/WATERFRONT,N43,N43 SW/WATERFRONT
142,11001010600,Census Tract 106,District of Columbia,District of Columbia,UNION STATION,N48,N48 UNION STATION
143,11001010700,Census Tract 107,District of Columbia,District of Columbia,GWU,N24,N24 GWU
144,11001010800,Census Tract 108,District of Columbia,District of Columbia,GWU,N24,N24 GWU
145,11001011000,Census Tract 110,District of Columbia,District of Columbia,SW/WATERFRONT,N43,N43 SW/WATERFRONT
146,11001011100,Census Tract 111,District of Columbia,District of Columbia,FORT LINCOLN/GATEWAY,N21,N21 FORT LINCOLN/GATEWAY
147,11001001401,Census Tract 14.01,District of Columbia,District of Columbia,CHEVY CHASE,N11,N11 CHEVY CHASE
148,11001001402,Census Tract 14.02,District of Columbia,District of Columbia,CHEVY CHASE,N11,N11 CHEVY CHASE
149,11001001500,Census Tract 15,District of Columbia,District of Columbia,BARNABY WOODS,N3,N3 BARNABY WOODS
150,11001001600,Census Tract 16,District of Columbia,District of Columbia,SHEPHERD PARK,N40,N40 SHEPHERD PARK
151,11001001702,Census Tract 17.02,District of Columbia,District of Columbia,BRIGHTWOOD,N7,N7 BRIGHTWOOD
152,11001001803,Census Tract 18.03,District of Columbia,District of Columbia,BRIGHTWOOD,N7,N7 BRIGHTWOOD
153,11001001804,Census Tract 18.04,District of Columbia,District of Columbia,BRIGHTWOOD,N7,N7 BRIGHTWOOD
154,11001001901,Census Tract 19.01,District of Columbia,District of Columbia,BRIGHTWOOD,N7,N7 BRIGHTWOOD
155,11001001902,Census Tract 19.02,District of Columbia,District of Columbia,LAMOND RIGGS,N29,N29 LAMOND RIGGS
156,11001002001,Census Tract 20.01,District of Columbia,District of Columbia,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
157,11001002101,Census Tract 21.01,District of Columbia,District of Columbia,BRIGHTWOOD PARK,N8,N8 BRIGHTWOOD PARK
158,11001002102,Census Tract 21.02,District of Columbia,District of Columbia,BRIGHTWOOD PARK,N8,N8 BRIGHTWOOD PARK
159,11001007304,Census Tract 73.04,District of Columbia,District of Columbia,CONGRESS HEIGHTS/SHIPLEY,N14,N14 CONGRESS HEIGHTS/SHIPLEY
160,11001007403,Census Tract 74.03,District of Columbia,District of Columbia,DOUGLASS,N16,N16 DOUGLASS
161,11001007404,Census Tract 74.04,District of Columbia,District of Columbia,DOUGLASS,N16,N16 DOUGLASS
162,11001007406,Census Tract 74.06,District of Columbia,District of Columbia,HISTORIC ANACOSTIA,N26,N26 HISTORIC ANACOSTIA
163,11001007407,Census Tract 74.07,District of Columbia,District of Columbia,HISTORIC ANACOSTIA,N26,N26 HISTORIC ANACOSTIA
164,11001007408,Census Tract 74.08,District of Columbia,District of Columbia,NAYLOR/HILLCREST,N37,N37 NAYLOR/HILLCREST
165,11001007409,Census Tract 74.09,District of Columbia,District of Columbia,DOUGLASS,N16,N16 DOUGLASS
166,11001007502,Census Tract 75.02,District of Columbia,District of Columbia,NAYLOR/HILLCREST,N37,N37 NAYLOR/HILLCREST
167,11001009505,Census Tract 95.05,District of Columbia,District of Columbia,LAMOND RIGGS,N29,N29 LAMOND RIGGS
168,11001009507,Census Tract 95.07,District of Columbia,District of Columbia,LAMOND RIGGS,N29,N29 LAMOND RIGGS
169,11001009700,Census Tract 97,District of Columbia,District of Columbia,WASHINGTON HIGHLANDS,N49,N49 WASHINGTON HIGHLANDS
170,11001009801,Census Tract 98.01,District of Columbia,District of Columbia,WASHINGTON HIGHLANDS,N49,N49 WASHINGTON HIGHLANDS
171,11001009802,Census Tract 98.02,District of Columbia,District of Columbia,BELLEVUE,N4,N4 BELLEVUE
172,11001009803,Census Tract 98.03,District of Columbia,District of Columbia,CONGRESS HEIGHTS/SHIPLEY,N14,N14 CONGRESS HEIGHTS/SHIPLEY
173,11001009804,Census Tract 98.04,District of Columbia,District of Columbia,CONGRESS HEIGHTS/SHIPLEY,N14,N14 CONGRESS HEIGHTS/SHIPLEY
174,11001009807,Census Tract 98.07,District of Columbia,District of Columbia,BELLEVUE,N4,N4 BELLEVUE
1,11001000100,Census Tract 1,District of Columbia,District of Columbia,GEORGETOWN EAST,N23,N23 GEORGETOWN EAST
2,11001000201,Census Tract 2.01,District of Columbia,District of Columbia,GEORGETOWN,N22,N22 GEORGETOWN
3,11001000202,Census Tract 2.02,District of Columbia,District of Columbia,GEORGETOWN,N22,N22 GEORGETOWN
4,11001000300,Census Tract 3,District of Columbia,District of Columbia,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
5,11001000400,Census Tract 4,District of Columbia,District of Columbia,WOODLEY PARK,N50,N50 WOODLEY PARK
6,11001000501,Census Tract 5.01,District of Columbia,District of Columbia,WOODLEY PARK,N50,N50 WOODLEY PARK
7,11001000502,Census Tract 5.02,District of Columbia,District of Columbia,WOODLEY PARK,N50,N50 WOODLEY PARK
8,11001000600,Census Tract 6,District of Columbia,District of Columbia,WOODLEY PARK,N50,N50 WOODLEY PARK
9,11001000701,Census Tract 7.01,District of Columbia,District of Columbia,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
10,11001000702,Census Tract 7.02,District of Columbia,District of Columbia,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
11,11001000801,Census Tract 8.01,District of Columbia,District of Columbia,KENT/PALISADES,N27,N27 KENT/PALISADES
12,11001000802,Census Tract 8.02,District of Columbia,District of Columbia,KENT/PALISADES,N27,N27 KENT/PALISADES
13,11001000901,Census Tract 9.01,District of Columbia,District of Columbia,KENT/PALISADES,N27,N27 KENT/PALISADES
14,11001000902,Census Tract 9.02,District of Columbia,District of Columbia,KENT/PALISADES,N27,N27 KENT/PALISADES
15,11001001001,Census Tract 10.01,District of Columbia,District of Columbia,TENLEYTOWN,N44,N44 TENLEYTOWN
16,11001001002,Census Tract 10.02,District of Columbia,District of Columbia,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
17,11001001100,Census Tract 11,District of Columbia,District of Columbia,TENLEYTOWN,N44,N44 TENLEYTOWN
18,11001001200,Census Tract 12,District of Columbia,District of Columbia,TENLEYTOWN,N44,N44 TENLEYTOWN
19,11001001301,Census Tract 13.01,District of Columbia,District of Columbia,FOREST HILLS,N19,N19 FOREST HILLS
20,11001001302,Census Tract 13.02,District of Columbia,District of Columbia,FOREST HILLS,N19,N19 FOREST HILLS
21,11001002002,Census Tract 20.02,District of Columbia,District of Columbia,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
22,11001002201,Census Tract 22.01,District of Columbia,District of Columbia,PETWORTH,N38,N38 PETWORTH
23,11001002202,Census Tract 22.02,District of Columbia,District of Columbia,PETWORTH,N38,N38 PETWORTH
24,11001002301,Census Tract 23.01,District of Columbia,District of Columbia,PETWORTH,N38,N38 PETWORTH
25,11001002302,Census Tract 23.02,District of Columbia,District of Columbia,DC MEDICAL CENTER,N15,N15 DC MEDICAL CENTER
26,11001002400,Census Tract 24,District of Columbia,District of Columbia,PETWORTH,N38,N38 PETWORTH
27,11001002501,Census Tract 25.01,District of Columbia,District of Columbia,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
28,11001002502,Census Tract 25.02,District of Columbia,District of Columbia,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
29,11001002600,Census Tract 26,District of Columbia,District of Columbia,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
30,11001002701,Census Tract 27.01,District of Columbia,District of Columbia,MOUNT PLEASANT,N34,N34 MOUNT PLEASANT
31,11001002702,Census Tract 27.02,District of Columbia,District of Columbia,MOUNT PLEASANT,N34,N34 MOUNT PLEASANT
32,11001002801,Census Tract 28.01,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
33,11001002802,Census Tract 28.02,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
34,11001002900,Census Tract 29,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
35,11001003000,Census Tract 30,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
36,11001003100,Census Tract 31,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
37,11001003200,Census Tract 32,District of Columbia,District of Columbia,COLUMBIA HEIGHTS,N13,N13 COLUMBIA HEIGHTS
38,11001003301,Census Tract 33.01,District of Columbia,District of Columbia,BLOOMINGDALE,N5,N5 BLOOMINGDALE
39,11001003302,Census Tract 33.02,District of Columbia,District of Columbia,BLOOMINGDALE,N5,N5 BLOOMINGDALE
40,11001003400,Census Tract 34,District of Columbia,District of Columbia,U ST/PLEASANT,N47,N47 U ST/PLEASANT
41,11001003500,Census Tract 35,District of Columbia,District of Columbia,U ST/PLEASANT,N47,N47 U ST/PLEASANT
42,11001003600,Census Tract 36,District of Columbia,District of Columbia,SOUTH COLUMBIA HEIGHTS,N41,N41 SOUTH COLUMBIA HEIGHTS
43,11001003700,Census Tract 37,District of Columbia,District of Columbia,SOUTH COLUMBIA HEIGHTS,N41,N41 SOUTH COLUMBIA HEIGHTS
44,11001003800,Census Tract 38,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
45,11001003900,Census Tract 39,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
46,11001004001,Census Tract 40.01,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
47,11001004002,Census Tract 40.02,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
48,11001004100,Census Tract 41,District of Columbia,District of Columbia,GEORGETOWN EAST,N23,N23 GEORGETOWN EAST
49,11001004201,Census Tract 42.01,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
50,11001004202,Census Tract 42.02,District of Columbia,District of Columbia,ADAMS MORGAN,N2,N2 ADAMS MORGAN
51,11001004300,Census Tract 43,District of Columbia,District of Columbia,U ST/PLEASANT,N47,N47 U ST/PLEASANT
52,11001004400,Census Tract 44,District of Columbia,District of Columbia,U ST/PLEASANT,N47,N47 U ST/PLEASANT
53,11001004600,Census Tract 46,District of Columbia,District of Columbia,BLOOMINGDALE,N5,N5 BLOOMINGDALE
54,11001004701,Census Tract 47.01,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
55,11001004702,Census Tract 47.02,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
56,11001004801,Census Tract 48.01,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
57,11001004802,Census Tract 48.02,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
58,11001004901,Census Tract 49.01,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
59,11001004902,Census Tract 49.02,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
60,11001005001,Census Tract 50.01,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
61,11001005002,Census Tract 50.02,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
62,11001005201,Census Tract 52.01,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
63,11001005301,Census Tract 53.01,District of Columbia,District of Columbia,LOGAN CIRCLE/SHAW,N31,N31 LOGAN CIRCLE/SHAW
64,11001005500,Census Tract 55,District of Columbia,District of Columbia,GEORGETOWN EAST,N23,N23 GEORGETOWN EAST
65,11001005600,Census Tract 56,District of Columbia,District of Columbia,GWU,N24,N24 GWU
66,11001005800,Census Tract 58,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
67,11001005900,Census Tract 59,District of Columbia,District of Columbia,CHINATOWN,N12,N12 CHINATOWN
68,11001006202,Census Tract 62.02,District of Columbia,District of Columbia,NATIONAL MALL,N0,N0 NATIONAL MALL
69,11001006400,Census Tract 64,District of Columbia,District of Columbia,SW/WATERFRONT,N43,N43 SW/WATERFRONT
70,11001006500,Census Tract 65,District of Columbia,District of Columbia,CAPITOL HILL,N9,N9 CAPITOL HILL
175,11001009810,Census Tract 98.10,District of Columbia,District of Columbia,BELLEVUE,N4,N4 BELLEVUE
176,11001009811,Census Tract 98.11,District of Columbia,District of Columbia,BELLEVUE,N4,N4 BELLEVUE
177,11001010300,Census Tract 103,District of Columbia,District of Columbia,SHEPHERD PARK,N40,N40 SHEPHERD PARK
178,11001010400,Census Tract 104,District of Columbia,District of Columbia,SAINT ELIZABETHS,N39,N39 SAINT ELIZABETHS
179,11001010900,Census Tract 109,District of Columbia,District of Columbia,BELLEVUE,N4,N4 BELLEVUE
